lr,hidden_sizes,dropout_rate,optimizer,scheduler,weight_decay,batch_size,best_val_loss,best_epoch
0.0005,"[64, 32]",0.2,AdamW,,0.001,64,7701.218263319413,13
0.0005,"[64, 32]",0.2,AdamW,CosineAnnealingLR,0.0001,32,7891.847966660048,6
0.0005,"[64, 32]",0.2,AdamW,CosineAnnealingLR,0.0001,64,7699.802549607114,10
0.0005,"[64, 32]",0.2,AdamW,CosineAnnealingLR,0.001,32,7926.468829677446,8
0.0005,"[64, 32]",0.2,AdamW,CosineAnnealingLR,0.001,64,7642.492578318661,11
0.0005,"[64, 32]",0.2,AdamW,ReduceLROnPlateau,0.0001,32,7808.702345516657,14
0.0005,"[64, 32]",0.2,AdamW,ReduceLROnPlateau,0.0001,64,7587.551439201525,20
0.0005,"[64, 32]",0.2,AdamW,ReduceLROnPlateau,0.001,32,7866.288720709053,10
0.0005,"[64, 32]",0.2,AdamW,ReduceLROnPlateau,0.001,64,7573.0005090898685,18
0.0005,"[64, 32]",0.3,Adam,,0.0001,32,7965.732265780719,3
0.0005,"[64, 32]",0.3,Adam,,0.0001,64,7734.333752575289,10
0.0005,"[64, 32]",0.3,Adam,,0.001,32,8077.550146972479,2
0.0005,"[64, 32]",0.3,Adam,,0.001,64,7719.604479421719,11
0.0005,"[64, 32]",0.3,Adam,CosineAnnealingLR,0.0001,32,7876.6117781286675,15
0.0005,"[64, 32]",0.3,Adam,CosineAnnealingLR,0.0001,64,7642.152622502492,18
0.0005,"[64, 32]",0.3,Adam,CosineAnnealingLR,0.001,32,7879.235908257271,5
0.0005,"[64, 32]",0.3,Adam,CosineAnnealingLR,0.001,64,7791.4098777346435,10
0.0005,"[64, 32]",0.3,Adam,ReduceLROnPlateau,0.0001,32,7711.417360023802,14
0.0005,"[64, 32]",0.3,Adam,ReduceLROnPlateau,0.0001,64,7639.328357036847,21
0.0005,"[64, 32]",0.3,Adam,ReduceLROnPlateau,0.001,32,7719.560917537164,18
0.0005,"[64, 32]",0.3,Adam,ReduceLROnPlateau,0.001,64,7643.186609517597,27
0.0005,"[64, 32]",0.3,AdamW,,0.0001,32,7922.2714773399875,3
0.0005,"[64, 32]",0.3,AdamW,,0.0001,64,7738.638519238942,11
0.0005,"[64, 32]",0.3,AdamW,,0.001,32,7868.037745569365,5
0.0005,"[64, 32]",0.3,AdamW,,0.001,64,7733.368722970533,15
0.0005,"[64, 32]",0.3,AdamW,CosineAnnealingLR,0.0001,32,7889.989313440478,4
0.0005,"[64, 32]",0.3,AdamW,CosineAnnealingLR,0.0001,64,7776.873519861026,9
0.0005,"[64, 32]",0.3,AdamW,CosineAnnealingLR,0.001,32,7844.669577851029,5
0.0005,"[64, 32]",0.3,AdamW,CosineAnnealingLR,0.001,64,7712.977928557155,13
0.0005,"[64, 32]",0.3,AdamW,ReduceLROnPlateau,0.0001,32,7969.581226136289,5
0.0005,"[64, 32]",0.3,AdamW,ReduceLROnPlateau,0.0001,64,7633.818371725794,20
0.0005,"[64, 32]",0.3,AdamW,ReduceLROnPlateau,0.001,32,7889.6897363633,8
0.0005,"[64, 32]",0.3,AdamW,ReduceLROnPlateau,0.001,64,7636.269999434037,15
0.0001,"[128, 64]",0.2,Adam,,0.0001,32,7767.419267006234,7
0.0001,"[128, 64]",0.2,Adam,,0.0001,64,7530.146127486442,32
0.0001,"[128, 64]",0.2,Adam,,0.001,32,7644.440816079636,12
